"Card Name","Status","Card Text","Icon","Attribute","Level","Monster Type","Card Type","ATK","DEF"
"Miraculous Descent","Unlimited","Card Text Target 1 of your banished Fairy monsters; Special Summon it. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.","Icon Continuous Trap","","","","","",""
"Synthetic Seraphim","Unlimited","Card Text Each time a Counter Trap Card is activated, immediately after it resolves, Special Summon 1 ""Synthetic Seraphim Token"" (Fairy/LIGHT/Level 1/ATK 300/DEF 300).","Icon Continuous Trap","","","","","",""
"Forced Back","Unlimited","Card Text Negate the Normal Summon or Flip Summon of a monster and return it to its owner's hand.","Icon Counter Trap","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Simorgh, Bird of Divinity","Unlimited","Card Text This card cannot be Special Summoned. If you Tribute Summon this card, all Tributes must be WIND. Each player takes 1000 damage during each of their End Phases, while this card remains face-up on the field. This damage is decreased by 500 for each Spell/Trap Card the player controls.","","Attribute WIND","Level 7","Monster Type Winged Beast","Card Type Effect","ATK 2700","DEF 1000"
"Sonic Shooter","Unlimited","Card Text If there are no cards in your opponent's Spell & Trap Zone, this card can attack your opponent directly. If it does, the battle damage inflicted to your opponent is the original ATK of this card.","","Attribute WIND","Level 4","Monster Type Winged Beast","Card Type Effect","ATK 1300","DEF 600"
"Hysteric Party","Unlimited","Card Text Activate this card by discarding 1 card; Special Summon as many copies of ""Harpie Lady"" as possible from your Graveyard. When this face-up card leaves the field, destroy those monsters.","Icon Continuous Trap","","","","","",""
"Puppet King","Unlimited","Card Text When your opponent adds a Monster Card(s) to their hand, except by drawing, you can Special Summon this card from your hand. If you do, destroy it during your next turn's End Phase.","","Attribute EARTH","Level 7","Monster Type Warrior","Card Type Effect","ATK 2800","DEF 2600"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Cyber Dinosaur","Unlimited","Card Text When your opponent Special Summons a monster from their hand (except during the Damage Step): You can Special Summon this card from your hand.","","Attribute LIGHT","Level 7","Monster Type Machine","Card Type Effect","ATK 2500","DEF 1900"
"Elemental HERO Woodsman","Unlimited","Card Text Once per turn, during your Standby Phase: You can add 1 ""Polymerization"" from your Deck or Graveyard to your hand.","","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 2000"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Elemental HERO Terra Firma","Unlimited","Card Text ""Elemental HERO Ocean"" + ""Elemental HERO Woodsman""Must be Fusion Summoned and cannot be Special Summoned by other ways. You can Tribute 1 face-up ""Elemental HERO"" monster; this card gains ATK equal to the Tributed monster's ATK, until the End Phase.","","Attribute EARTH","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2000"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Elemental HERO Ocean","Unlimited","Card Text Once per turn, during your Standby Phase: You can target 1 ""HERO"" monster you control or in your Graveyard; return that target to the hand.","","Attribute WATER","Level 4","Monster Type Warrior","Card Type Effect","ATK 1500","DEF 1200"
"Chimeratech Overdragon","Unlimited","Card Text ""Cyber Dragon"" + 1+ Machine monstersMust be Fusion Summoned. If this card is Fusion Summoned: Send all other cards you control to the GY. The original ATK/DEF of this card each become equal to the number of Fusion Materials used for its Fusion Summon x 800. Each turn, this card can attack your opponent's monsters a number of times equal to the number of Fusion Materials used for its Fusion Summon.","","Attribute DARK","Level 9","Monster Type Machine","Card Type Fusion / Effect","ATK ?","DEF ?"
"Expressroid","Unlimited","Card Text When this card is Summoned: You can target 2 ""roid"" monsters in your GY, except ""Expressroid""; add those targets to your hand.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 400","DEF 1600"
"Ambulanceroid","Unlimited","Card Text When a ""roid"" monster is added from your Graveyard to your hand, you can Special Summon that monster.","","Attribute EARTH","Level 3","Monster Type Machine","Card Type Effect","ATK 300","DEF 1200"
"Cyber Summon Blaster","Unlimited","Card Text Each time a Machine monster(s) is Special Summoned, while this card is already face-up in your Spell & Trap Zone: Inflict 300 damage to your opponent.","Icon Continuous Trap","","","","","",""
"Submarineroid","Unlimited","Card Text This card can attack your opponent directly, but when it does so using this effect, the battle damage inflicted to your opponent is the original ATK of this card. At the end of the Damage Step, if this card attacked or was attacked: You can change this card to Defense Position.","","Attribute WATER","Level 4","Monster Type Machine","Card Type Effect","ATK 800","DEF 1800"
"Super Vehicroid Jumbo Drill","Unlimited","Card Text ""Steamroid"" + ""Drillroid"" + ""Submarineroid""A Fusion Summon of this card can only be conducted with the above Fusion Material Monsters. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.","","Attribute EARTH","Level 8","Monster Type Machine","Card Type Fusion / Effect","ATK 3000","DEF 2000"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Stealthroid","Unlimited","Card Text If this card attacks, destroy 1 Spell or Trap Card at the end of the Battle Phase if you control another ""roid"" monster.","","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 1200","DEF 0"
"Decoyroid","Unlimited","Card Text While this card is face-up on your side of the field, your opponent cannot select a face-up monster as an attack target except ""Decoyroid"".","","Attribute WIND","Level 2","Monster Type Machine","Card Type Effect","ATK 300","DEF 500"
"Truckroid","Unlimited","Card Text When this card destroys an opponent's monster by battle and sends it to the Graveyard: Equip the destroyed monster to this card. This card gains ATK equal to the combined ATK of the monsters equipped to it by this effect.","","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1000","DEF 2000"
"Ambulance Rescueroid","Unlimited","Card Text ""Rescueroid"" + ""Ambulanceroid""This monster cannot be Special Summoned except by Fusion Summon. Once per turn, when a monster on your side of the field is destroyed by battle and sent to the Graveyard, you can Special Summon that monster in Defense Position.","","Attribute FIRE","Level 6","Monster Type Machine","Card Type Fusion / Effect","ATK 2300","DEF 1800"
"Rescueroid","Unlimited","Card Text When a ""roid"" monster you control is destroyed by battle and sent to the Graveyard, you can return that monster to its owner's hand.","","Attribute FIRE","Level 6","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1800"
"No Entry!!","Unlimited","Card Text Change all Attack Position monsters to Defense Position.","Icon Normal Trap","","","","","",""
"Supercharge","Unlimited","Card Text When your opponent declares an attack while the only monsters you control are Machine-Type ""roid"" monster(s): Draw 2 cards.","Icon Normal Trap","","","","","",""
"Vehicroid Connection Zone","Unlimited","Card Text Fusion Summon 1 ""Vehicroid"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials, and if you do, it cannot be destroyed by card effects, and its effects cannot be negated.","Icon Normal Spell","","","","","",""
"Wonder Garage","Unlimited","Card Text When this face-down card is destroyed and sent to the Graveyard, you can Special Summon 1 Level 4 or lower Machine-Type ""roid"" monster from your hand.","Icon Normal Trap","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Destiny HERO - Blade Master","Unlimited","Card Text During your opponent's Battle Phase: You can discard this card; all face-up ""Destiny HERO"" monsters you control gain 800 ATK until the End Phase.","","Attribute DARK","Level 3","Monster Type Warrior","Card Type Effect","ATK 300","DEF 600"
"Destiny HERO - Dasher","Unlimited","Card Text Once per turn: You can Tribute 1 other monster; this card gains 1000 ATK until the End Phase. If this card attacks, change it to Defense Position at the end of the Battle Phase. One time only, when you draw a Monster Card during your Draw Phase while this card is in your Graveyard: You can reveal it; Special Summon it. This card must be in the Graveyard to activate and to resolve this effect.","","Attribute DARK","Level 6","Monster Type Warrior","Card Type Effect","ATK 2100","DEF 1000"
"Destiny HERO - Double Dude","Unlimited","Card Text Cannot be Special Summoned. This card can attack twice during each Battle Phase. During your Standby Phase, if this card was destroyed since your last Standby Phase: You can Special Summon 2 ""Double Dude Tokens"" (Warrior-Type/DARK/Level 4/ATK 1000/DEF 1000). This card must be in your Graveyard to activate and to resolve this effect.","","Attribute DARK","Level 6","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 1000"
"Destiny HERO - Defender","Unlimited","Card Text During each of your opponent's Standby Phases: Your opponent draws 1 card. This card must be in face-up Defense Position to activate and to resolve this effect.","","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 100","DEF 2700"
"Destiny HERO - Fear Monger","Unlimited","Card Text During your Standby Phase, if this card is in your Graveyard because it was destroyed by battle and sent there since your last Standby Phase: Target 1 ""Destiny HERO"" monster in your Graveyard, except a ""Destiny HERO - Fear Monger""; Special Summon that target.","","Attribute DARK","Level 4","Monster Type Warrior","Card Type Effect","ATK 1000","DEF 1000"
"Destiny HERO - Dogma","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 3 monsters, including at least 1 ""Destiny HERO"" monster. Once per turn, if you still control this face-up card during your opponent's next Standby Phase after you Special Summoned it this way: Halve your opponent's LP.","","Attribute DARK","Level 8","Monster Type Warrior","Card Type Effect","ATK 3400","DEF 2400"
"Dark City","Unlimited","Card Text When a ""Destiny HERO"" monster attacks, if its ATK is lower than the ATK of the attack target, the attacking monster gains 1000 ATK during damage calculation only.","Icon Field Spell","","","","","",""
"Mausoleum of the Emperor","Unlimited","Card Text During any Main Phase: The turn player can pay 1000 LP x the number of monsters normally needed for the Tribute Summon of a monster (max. 2000); that player Normal Summons/Sets that monster without Tributing. (This is their one Normal Summon/Set for that turn. This is not a Tribute Summon.)","Icon Field Spell","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"D - Chain","Unlimited","Card Text Target a ""Destiny HERO"" monster you control; equip this card to that target. It gains 500 ATK. When it destroys a monster your opponent controls by battle and sends it to the Graveyard: Inflict 500 damage to your opponent.","Icon Normal Trap","","","","","",""
"D - Spirit","Unlimited","Card Text Special Summon 1 Level 4 or lower ""Destiny HERO"" monster from your hand. You must not control any face-up ""Destiny HERO"" monsters to activate and to resolve this effect.","Icon Normal Spell","","","","","",""
"Destiny Mirage","Unlimited","Card Text When a ""Destiny HERO"" monster you control is destroyed and sent to the Graveyard by an opponent's card effect: Special Summon, to your side of the field, all ""Destiny HERO"" monsters that were destroyed and sent to either Graveyard this turn.","Icon Normal Trap","","","","","",""
"Chrysalis Dolphin","Unlimited","Card Text By Tributing this card while ""Neo Space"" is on the field, Special Summon 1 ""Neo-Spacian Aqua Dolphin"" from your hand or Deck.","","Attribute WATER","Level 2","Monster Type Fish","Card Type Effect","ATK 400","DEF 600"
"Elemental HERO Dark Neos","Unlimited","Card Text ""Elemental HERO Neos"" + ""Neo-Spacian Dark Panther""Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) If this card is not already targeting a monster with its effect: You can target 1 face-up Effect Monster on the field; while you control this face-up card, that target's effect on the field is negated. During the End Phase: Shuffle this card into the Extra Deck.","","Attribute DARK","Level 7","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2000"
"Elemental HERO Aqua Neos","Unlimited","Card Text ""Elemental HERO Neos"" + ""Neo-Spacian Aqua Dolphin""Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) Once per turn: You can discard 1 card; destroy 1 random card in your opponent's hand. During the End Phase: Shuffle this card into the Extra Deck.","","Attribute WATER","Level 7","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2000"
"Elemental HERO Flare Neos","Unlimited","Card Text ""Elemental HERO Neos"" + ""Neo-Spacian Flare Scarab""Must first be Special Summoned (from your Extra Deck) by shuffling the above cards you control into the Deck. (You do not use ""Polymerization"".) This card gains 400 ATK for each Spell/Trap Card on the field. During the End Phase: Shuffle this card into the Extra Deck.","","Attribute FIRE","Level 7","Monster Type Warrior","Card Type Fusion / Effect","ATK 2500","DEF 2000"
"Neo-Spacian Aqua Dolphin","Unlimited","Card Text Once per turn: You can discard 1 card; look at your opponent's hand and choose 1 monster. If you control a monster with ATK greater than or equal to the ATK of the chosen card, destroy the chosen card, and if you do, inflict 500 damage to your opponent. Otherwise, take 500 damage.","","Attribute WATER","Level 3","Monster Type Warrior","Card Type Effect","ATK 600","DEF 800"
"Neo-Spacian Air Hummingbird","Unlimited","Card Text Once per turn: You can gain 500 LP for each card in your opponent's hand.","","Attribute WIND","Level 3","Monster Type Winged Beast","Card Type Effect","ATK 800","DEF 600"
"Neo-Spacian Grand Mole","Unlimited","Card Text At the start of the Damage Step, if this card battles an opponent's monster: You can return both the opponent's monster and this card to the hand.","","Attribute EARTH","Level 3","Monster Type Rock","Card Type Effect","ATK 900","DEF 300"
"Neo-Spacian Glow Moss","Unlimited","Card Text If this card attacks or is attacked: Your opponent draws 1 card and shows it, then, based on its type apply this effect.●Monster: End the Battle Phase of this turn.●Spell: If this card is attacking, you can change it to a direct attack instead.●Trap: Change this card to Defense Position.","","Attribute LIGHT","Level 3","Monster Type Plant","Card Type Effect","ATK 300","DEF 900"
"Neo-Spacian Dark Panther","Unlimited","Card Text Once per turn: You can target 1 face-up monster your opponent controls; until the End Phase, this card's name becomes that monster's original name, also replace this effect with that monster's original effects (if any).","","Attribute DARK","Level 3","Monster Type Beast","Card Type Effect","ATK 1000","DEF 500"
"Neo-Spacian Flare Scarab","Unlimited","Card Text Gains 400 ATK for each Spell/Trap your opponent controls.","","Attribute FIRE","Level 3","Monster Type Insect","Card Type Effect","ATK 500","DEF 500"
"Contact","Unlimited","Card Text Send all ""Chrysalis"" monsters you control to the Graveyard, and Special Summon 1 monster from your hand or Deck that is written in the card text of those cards.","Icon Normal Spell","","","","","",""
"Neo Space","Unlimited","Card Text ""Elemental HERO Neos"" and all Fusion Monsters that specifically list ""Elemental HERO Neos"" as a Fusion Material gain 500 ATK. Fusion Monsters that specifically list ""Elemental HERO Neos"" as a Fusion Material do not have to activate their effects during the End Phase that shuffle them into the Extra Deck.","Icon Field Spell","","","","","",""
"Black Stego","Unlimited","Card Text If this Attack Position card is targeted for an attack: Change this card to Defense Position.","","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 1200","DEF 2000"
"Ultimate Tyranno","Unlimited","Card Text This card can attack all monsters your opponent controls, once each. During your Battle Phase, if you control an ""Ultimate Tyranno"" that can attack, monsters other than ""Ultimate Tyranno"" cannot attack.","","Attribute EARTH","Level 8","Monster Type Dinosaur","Card Type Effect","ATK 3000","DEF 2200"
"Rallis the Star Bird","Unlimited","Card Text This card gains ATK equal to the Level of the monster that it battles x 200 during the Damage Step only. If this card attacks, it is removed from play at the end of the Damage Step and returned to your side of the field in face-up Attack Position at the beginning of your next turn's Battle Phase.","","Attribute WIND","Level 3","Monster Type Winged Beast","Card Type Effect","ATK 800","DEF 800"
"Fake Hero","Unlimited","Card Text Special Summon 1 ""Elemental HERO"" monster from your hand. That monster cannot attack, and returns to the hand during the End Phase.","Icon Normal Spell","","","","","",""
"Common Soul","Unlimited","Card Text Select 1 face-up monster on the field to activate this card. Special Summon 1 ""Neo-Spacian"" monster from your hand to the same side of the field as the selected monster. The selected monster gains ATK equal to the ATK of the monster that was Special Summoned by this effect. When this card is removed from the field, return the monster that was Special Summoned by this card's effect to the hand.","Icon Continuous Spell","","","","","",""
"Spell Calling","Unlimited","Card Text When this face-down card is destroyed and sent to the Graveyard by the effect of a Spell or Trap Card controlled by your opponent, select 1 Quick-Play Spell Card from your Deck and Set it after showing it to your opponent.","Icon Normal Spell","","","","","",""
"Future Fusion","Unlimited","Card Text During your 1st Standby Phase after this card's activation: Show 1 Fusion Monster in your Extra Deck and send the Fusion Materials listed on it from your Main Deck to the GY. During your 2nd Standby Phase after this card's activation: Fusion Summon 1 Fusion Monster from your Extra Deck with the same name as the monster you showed, and target it with this card. When this card leaves the field, destroy that target. When that target is destroyed, destroy this card.","Icon Continuous Spell","","","","","",""
"Overload Fusion","Unlimited","Card Text Fusion Summon 1 DARK Machine Fusion Monster from your Extra Deck, by banishing Fusion Materials listed on it from your field or GY.","Icon Normal Spell","","","","","",""
"Elemental HERO Stratos","Unlimited","Card Text When this card is Normal or Special Summoned: You can activate 1 of these effects.●Destroy Spells/Traps on the field, up to the number of ""HERO"" monsters you control, except this card.●Add 1 ""HERO"" monster from your Deck to your hand.","","Attribute WIND","Level 4","Monster Type Warrior","Card Type Effect","ATK 1800","DEF 300"
"HERO's Bond","Unlimited","Card Text If there is a face-up ""HERO"" monster on the field: Special Summon 2 Level 4 or lower ""Elemental HERO"" monsters from your hand.","Icon Normal Spell","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Dragonic Knight","Unlimited","Card Text When the effect of an opponent's monster is activated that targets and destroys a card(s) you control, you can send the targeted card(s) to the Graveyard to Special Summon this card from your hand.","","Attribute FIRE","Level 7","Monster Type Dragon","Card Type Effect","ATK 2800","DEF 2300"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Zeta Reticulant","Unlimited","Card Text You can Tribute 1 ""Eva Token"" to Special Summon this card from your hand. While this card is in your Graveyard, each time a monster(s) your opponent controls is removed from play, Special Summon 1 ""Eva Token"" (Fiend-Type/DARK/Level 2/ATK 500/DEF 500).","","Attribute DARK","Level 7","Monster Type Fairy","Card Type Effect","ATK 2400","DEF 2100"
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Sabersaurus","Unlimited","Card Text This normally gentle dinosaur enjoys relaxing in its nest in the prairies. If it becomes angered, it turns terribly ferocious.","","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Normal","ATK 1900","DEF 500"
"Miracle Jurassic Egg","Unlimited","Card Text While face-up on the field, this card cannot be banished. Each time a Dinosaur-Type monster(s) is sent to your Graveyard, place 2 counters on this card. You can Tribute this card; Special Summon 1 Dinosaur-Type monster from your Deck whose Level is less than or equal to the number of counters that were on this card.","","Attribute EARTH","Level 4","Monster Type Dinosaur","Card Type Effect","ATK 0","DEF 2000"
"Black Ptera","Unlimited","Card Text If this card is sent from the field to the GY, except by being destroyed by battle: Return it to the hand.","","Attribute WIND","Level 3","Monster Type Dinosaur","Card Type Effect","ATK 1000","DEF 500"
"Babycerasaurus","Unlimited","Card Text If this card is destroyed by a card effect and sent to the Graveyard: Special Summon 1 Level 4 or lower Dinosaur-Type monster from your Deck.","","Attribute EARTH","Level 2","Monster Type Dinosaur","Card Type Effect","ATK 500","DEF 500"
"Alien Grey","Unlimited","Card Text FLIP: Place 1 A-Counter on 1 face-up monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.) After this card has been flipped face-up, when it is destroyed by battle and sent to the Graveyard, draw 1 card.","","Attribute LIGHT","Level 2","Monster Type Reptile","Card Type Effect","ATK 300","DEF 800"
"Alien Mars","Unlimited","Card Text The effects of Effect Monsters with A-Counters are negated, except for ""Alien Mars"".","","Attribute FIRE","Level 3","Monster Type Reptile","Card Type Effect","ATK 1000","DEF 1000"
"Alien Skull","Unlimited","Card Text You can Tribute 1 face-up Level 3 or lower monster on your opponent's side of the field to Special Summon this card to your opponent's side of the field. If you Special Summon this monster this way, place 1 A-Counter on this card, and you cannot Normal Summon or Set the same turn. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)","","Attribute WIND","Level 4","Monster Type Reptile","Card Type Effect","ATK 1600","DEF 1800"
"Alien Hunter","Unlimited","Card Text If this card destroys a monster with an A-Counter by battle, it can attack once again in a row.","","Attribute WATER","Level 4","Monster Type Reptile","Card Type Effect","ATK 1600","DEF 800"
"Alien Warrior","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, place 2 A-Counters on the monster that destroyed it. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)","","Attribute EARTH","Level 4","Monster Type Reptile","Card Type Effect","ATK 1800","DEF 1000"
"Alien Mother","Unlimited","Card Text If this card destroys a monster with an A-Counter by battle and sends it to the Graveyard, Special Summon the destroyed monster to your side of the field at the end of the Battle Phase. When this card is removed from the field, all monsters that were Special Summoned by this card's effect are destroyed.","","Attribute DARK","Level 6","Monster Type Reptile","Card Type Effect","ATK 2300","DEF 1500"
"Cosmic Horror Gangi'el","Unlimited","Card Text If you're Tributing a monster on your side of the field that is owned by your opponent, this card can be Normal Summoned with 1 Tribute. Once per turn, you can place 1 A-Counter on a monster on your opponent's side of the field. (If a monster with an A-Counter battles an ""Alien"" monster, it loses 300 ATK and DEF for each A-Counter during damage calculation only.)","","Attribute LIGHT","Level 7","Monster Type Reptile","Card Type Effect","ATK 2600","DEF 2000"
"Flying Saucer Muusik'i","Unlimited","Card Text While this card is face-up on the field, you can select and add 1 ""Alien"" card from your Deck to your hand instead of conducting your normal draw during your Draw Phase.","","Attribute LIGHT","Level 5","Monster Type Machine","Card Type Effect","ATK 1000","DEF 2000"
"Crop Circles","Unlimited","Card Text Send any number of monsters from your side of the field to the Graveyard to activate this card. Select from your Deck 1 ""Alien"" monster whose Level is equal to the total Levels of the sent monsters, and Special Summon it. If you fail to find a monster to Special Summon, you take 2000 damage.","Icon Normal Trap","","","","","",""
"The Paths of Destiny","Unlimited","Card Text Both players toss a coin once. If a player's result is Heads, they gain 2000 Life Points, and if their result is Tails, they take 2000 damage.","Icon Normal Trap","","","","","",""
"Orbital Bombardment","Unlimited","Card Text Send 1 ""Alien"" monster from your side of the field to the Graveyard to activate this card. Destroy 1 Spell or Trap Card on the field.","Icon Normal Trap","","","","","",""
"Fossil Excavation","Unlimited","Card Text Activate this card by discarding 1 card, then target 1 Dinosaur-Type monster in your Graveyard; Special Summon that target. Negate the effects of that monster on the field. When this card leaves the field, destroy that monster. When that monster is destroyed, destroy this card.","Icon Continuous Trap","","","","","",""
"Brainwashing Beam","Unlimited","Card Text Select 1 monster with at least 1 A-Counter on your opponent's side of the field and take control of that monster. During each of your End Phases, remove 1 A-Counter from that controlled monster. If all A-Counters are removed from that monster, or that monster is destroyed, destroy this card.","Icon Continuous Trap","","","","","",""
"Royal Writ of Taxation","Unlimited","Card Text Activate only during your opponent's Standby Phase. Select 1 random card from your opponent's hand and look at it. Unless the selected card or a card with the same name is Normal Summoned or activated by the end of your next turn, inflict 1000 damage to your opponent. If the selected card or a card with the same name is Normal Summoned or activated by the end of your next turn, you take 1000 damage.","Icon Normal Trap","","","","","",""
"Cyclone Blade","Unlimited","Card Text Equip only to a ""Destiny HERO"" monster. At the end of the Damage Step, if the equipped monster attacked: Target 1 Spell/Trap Card on the field; destroy that target.","Icon Equip Spell","","","","","",""
"Toy Magician","Unlimited","Card Text You can Set this card from your hand to your Spell & Trap Zone as a Spell. During the End Phase, if this Set card in your Spell & Trap Zone was destroyed by an opponent's card effect and sent to the Graveyard this turn: Special Summon this card. If this card is Flip Summoned: Destroy Spells and Traps on the field, equal to the number of ""Toy Magicians"" on the field.","","Attribute LIGHT","Level 4","Monster Type Spellcaster","Card Type Effect","ATK 1600","DEF 1500"
"Super Conductor Tyranno","Unlimited","Card Text Once per turn: You can Tribute 1 monster; inflict 1000 damage to your opponent. This card cannot declare an attack the turn this effect is activated.","","Attribute LIGHT","Level 8","Monster Type Dinosaur","Card Type Effect","ATK 3300","DEF 1400"
"Hunting Instinct","Unlimited","Card Text When a monster(s) is Special Summoned to your opponent's field (except during the Damage Step): Special Summon 1 Dinosaur monster from your hand.","Icon Normal Trap","","","","","",""
"Survival Instinct","Unlimited","Card Text Banish any number of Dinosaur-Type monsters from your Graveyard; gain 400 Life Points for each Dinosaur-Type monster banished to activate this card.","Icon Normal Trap","","","","","",""
"Big Evolution Pill","Unlimited","Card Text After this card's activation, it remains on the field, but destroy it during your opponent's 3rd End Phase. Tribute 1 Dinosaur-Type monster to activate this card; while this card is face-up on the field, you can Normal Summon Level 5 or higher Dinosaur-Type monsters without Tributing.","Icon Normal Spell","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Light and Darkness Dragon","Unlimited","Card Text Cannot be Special Summoned. While face-up on the field, this card is also DARK-Attribute. Once per Chain, during either player's turn, when a Spell Card, Trap Card, or monster effect is activated: This card loses exactly 500 ATK and DEF and that activation is negated. When this card is destroyed and sent to the Graveyard: Target 1 monster in your Graveyard (if possible); destroy all cards you control, also Special Summon that monster (if any).","","Attribute LIGHT","Level 8","Monster Type Dragon","Card Type Effect","ATK 2800","DEF 2400"
"Tail Swipe","Unlimited","Card Text Target 1 Level 5 or higher Dinosaur monster you control; if that Dinosaur monster is still face-up on the field, choose up to 2 monsters your opponent controls that have a lower Level than it, or are face-down, and return the chosen monsters to the hand.","Icon Normal Spell","","","","","",""
"Jurassic World","Unlimited","Card Text All Dinosaur-Type monsters gain 300 ATK and DEF.","Icon Field Spell","","","","","",""
"Volcanic Eruption","Unlimited","Card Text During your End Phase, if you control ""Jurassic World"": Destroy all cards on the field.","Icon Normal Trap","","","","","",""
"Seismic Shockwave","Unlimited","Card Text Destroy this card during your 3rd Standby Phase after activation. Activate this card when a face-up Dinosaur-Type monster you control is destroyed and sent to the Graveyard (except during the Damage Step): Choose 3 of your opponent's unused Spell & Trap Zones. Those Zones cannot be used. If this card destroys itself: You can target 1 Dinosaur-Type monster in your Graveyard; add that target to your hand.","Icon Continuous Trap","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","",""
"Cyberdark Horn","Unlimited","Card Text If this card is Normal Summoned: Target 1 Level 3 or lower Dragon monster in your GY; equip that Dragon monster to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. If this card attacks a Defense Position monster, inflict piercing battle damage. If this card would be destroyed by battle, destroy the monster equipped to it by its effect, instead.","","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 800","DEF 800"
"Cyberdark Edge","Unlimited","Card Text If this card is Normal Summoned: Target 1 Level 3 or lower Dragon monster in your GY; equip that Dragon monster to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. This card can attack directly. If it does using this effect, its ATK is halved during damage calculation only. If this card would be destroyed by battle, destroy the monster equipped to it by its effect, instead.","","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 800","DEF 800"
"Cyberdark Keel","Unlimited","Card Text If this card is Normal Summoned: Target 1 Level 3 or lower Dragon monster in your GY; equip that Dragon monster to this card. Gains ATK equal to the original ATK of the monster equipped to it by this effect. If this card destroys an opponent's monster by battle: Inflict 300 damage to your opponent. If this card would be destroyed by battle, destroy the monster equipped to it by its effect, instead.","","Attribute DARK","Level 4","Monster Type Machine","Card Type Effect","ATK 800","DEF 800"
