Card Number,Card Name,Status,Card Text,Card Type,Attribute,Level,Monster Type,ATK,DEF,Rank,Pendulum Effect,Pendulum Scale,Link
12398,Card information not found.,Unlimited,Card information not found.,,,,,,,,,,
12399,Clear Kuriboh,Unlimited,"Card Text When your opponent activates a monster effect that would inflict damage (Quick Effect): You can discard this card; negate the activation. When an opponent's monster declares a direct attack: You can banish this card from your GY; draw 1 card, and if it is a monster, you can Special Summon it, then change the attack target to it. You can only use this effect of ""Clear Kuriboh"" once per turn.",Card Type Effect,Attribute LIGHT,Level 1,Monster Type Fairy,ATK 300,DEF 200,,,,
12400,Performapal Bot-Eyes Lizard,Unlimited,"Card Text Once per turn, during your Main Phase, if this card was Normal or Special Summoned this turn: You can send 1 ""Odd-Eyes"" monster from your Deck to the Graveyard; this card's name becomes the sent monster's original name, until the End Phase.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Reptile,ATK 1600,DEF 1200,,,,
12401,Performapal Gongato,Unlimited,"Card Text Once per turn, when an attack is declared involving a monster you control and an opponent's monster: You can activate this effect; you take no battle damage from that battle.",Card Type Pendulum / Effect,Attribute EARTH,Level 1,Monster Type Beast,ATK 100,DEF 100,,"Pendulum Effect Once per turn, when an opponent's monster declares a direct attack: You can activate this effect; you take no battle damage from that battle (even if this card leaves the field).",Pendulum Scale 2,
12402,Performapal Extra Slinger,Unlimited,"Card Text Once per turn: You can banish 1 card from your Extra Deck, then target 1 card in a Pendulum Zone; destroy it, and if you do, inflict 300 damage to your opponent.",Card Type Pendulum / Effect,Attribute DARK,Level 3,Monster Type Spellcaster,ATK 800,DEF 1100,,"Pendulum Effect During your Main Phase: You can inflict 300 damage to your opponent for each face-up Pendulum Monster in your Extra Deck. You can only use this effect of ""Performapal Extra Slinger"" once per turn. You cannot Pendulum Summon the turn you activate this effect.",Pendulum Scale 6,
12403,Performapal Inflater Tapir,Unlimited,"Card Text During damage calculation (in either player's turn), if a monster you control battles an opponent's monster: You can discard this card; neither player takes any battle damage from that battle. When an opponent's monster declares a direct attack while this card is in your Graveyard: You can discard 1 ""Performapal"" monster; Special Summon this card in Defense Position. You can only use this effect of ""Performapal Inflater Tapir"" once per turn.",Card Type Effect,Attribute WIND,Level 6,Monster Type Beast,ATK 1000,DEF 2000,,,,
12404,Performapal Gumgumouton,Unlimited,"Card Text Once per turn, when an attack is declared involving a monster you control and an opponent's monster: You can activate this effect; that monster you control cannot be destroyed by that battle.",Card Type Pendulum / Effect,Attribute EARTH,Level 5,Monster Type Beast,ATK 900,DEF 2400,,"Pendulum Effect Once per turn, when an attack is declared involving a monster you control and an opponent's monster: You can activate this effect; that monster you control cannot be destroyed by that battle.",Pendulum Scale 1,
12405,Performapal Bubblebowwow,Unlimited,"Card Text When this card is Special Summoned from the Extra Deck: You can activate this effect; for the rest of this turn, Pendulum Monsters you control that were Special Summoned from the Extra Deck cannot be destroyed by card effects.",Card Type Pendulum / Effect,Attribute EARTH,Level 6,Monster Type Beast,ATK 2300,DEF 1000,,"Pendulum Effect If a face-up non-Pendulum Monster(s) you control that was Special Summoned from the Extra Deck would be destroyed by battle or card effect, you can destroy this card instead.",Pendulum Scale 5,
12406,Performapal Radish Horse,Unlimited,"Card Text If your opponent controls a Special Summoned monster, and controls at least as many monsters as you, you can Special Summon this card (from your hand). Once per turn: You can target 1 face-up monster on each player's field; until the end of this turn, that opponent's monster loses ATK equal to this card's ATK, and if it does, that monster you control gains ATK equal to this card's ATK.",Card Type Pendulum / Effect,Attribute EARTH,Level 4,Monster Type Plant,ATK 500,DEF 2000,,"Pendulum Effect Once per turn: You can target 1 face-up monster your opponent controls, and 1 ""Performapal"" monster you control; that opponent's monster loses ATK equal to the ATK of that ""Performapal"" monster you control (even if this card leaves the field).",Pendulum Scale 3,
12407,Performapal Life Swordsman,Unlimited,"Card Text When your opponent gains LP (except during the Damage Step): You can Special Summon this card from your hand, and if you do, this card's ATK becomes equal to the LP your opponent gained. You can Tribute this card, then target 1 face-up monster you control; it gains 1000 ATK until the end of this turn.",Card Type Effect,Attribute LIGHT,Level 1,Monster Type Warrior,ATK 0,DEF 0,,,,
12408,Acrobatic Magician,Unlimited,Card Text If the activation of a Spell/Trap Card is negated (except during the Damage Step): You can Special Summon this card from your hand. When this card is destroyed by battle: You can place this card in your Pendulum Zone.,Card Type Pendulum / Effect,Attribute DARK,Level 5,Monster Type Spellcaster,ATK 800,DEF 2300,,"Pendulum Effect When a monster(s) you control is destroyed by a card effect (except during the Damage Step): You can Special Summon this card from your Pendulum Zone. You can only use this effect of ""Acrobatic Magician"" once per turn.",Pendulum Scale 2,
12409,D/D Savant Thomas,Unlimited,"Card Text You can target 1 ""D/D"" card in your Pendulum Zone; destroy that card, and if you do, Special Summon 1 Level 8 ""D/D/D"" monster from your Deck in Defense Position, but for the rest of this turn, its effects (if any) are negated, and any battle damage your opponent takes becomes halved. You can only use this effect of ""D/D Savant Thomas"" once per turn.",Card Type Pendulum / Effect,Attribute DARK,Level 8,Monster Type Fiend,ATK 1800,DEF 2600,,"Pendulum Effect During your Main Phase: You can add 1 face-up ""D/D"" Pendulum Monster from your Extra Deck to your hand. You can only use this effect of ""D/D Savant Thomas"" once per turn.",Pendulum Scale 6,
12410,D/D Savant Nikola,Unlimited,"Card Text If this card in the Pendulum Zone is destroyed: You can target 1 ""D/D/D"" monster you control; return it to the hand, and if you do, place up to 2 face-up ""D/D"" Pendulum Monsters from your Extra Deck in your Pendulum Zones, but they cannot activate their Pendulum Effects this turn. You can only use this effect of ""D/D Savant Nikola"" once per turn.",Card Type Pendulum / Effect,Attribute DARK,Level 6,Monster Type Fiend,ATK 2000,DEF 2000,,"Pendulum Effect You cannot Pendulum Summon monsters, except ""D/D"" monsters. This effect cannot be negated. Once per turn: You can discard 1 ""D/D/D"" monster, then target 1 Level 6 or lower ""D/D"" monster you control; it gains 2000 ATK and DEF until the end of this turn (even if this card leaves the field).",Pendulum Scale 8,
12411,Blackwing - Tornado the Reverse Wind,Unlimited,"Card Text When this card is Normal Summoned while your opponent controls a Special Summoned monster: You can target 1 ""Blackwing"" Tuner in your Graveyard; you cannot Special Summon monsters from the Extra Deck for the rest of this turn, except ""Blackwing"" monsters, also Special Summon that monster, but its effects are negated.",Card Type Effect,Attribute DARK,Level 4,Monster Type Winged Beast,ATK 1000,DEF 1200,,,,
12412,Blackwing - Gofu the Vague Shadow,Forbidden,"Card Text Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) while you control no monsters. When this card is Special Summoned from the hand: You can Special Summon 2 ""Vague Shadow Tokens"" (Winged Beast-Type/DARK/Level 1/ATK 0/DEF 0), but they cannot be Tributed or be used as Synchro Material. You can banish this card and 1 or more face-up non-Tuners you control, then target 1 ""Blackwing"" Synchro Monster in your Graveyard whose Level equals the total Levels the banished monsters had on the field; Special Summon it, and if you do, it is treated as a Tuner. Forbidden",Card Type Tuner / Effect,Attribute DARK,Level 5,Monster Type Winged Beast,ATK 0,DEF 0,,,,
12413,Red Warg,Unlimited,"Card Text When you Normal Summon a ""Resonator"" monster: You can Special Summon this card from your hand, but its ATK becomes halved.",Card Type Effect,Attribute FIRE,Level 6,Monster Type Fiend,ATK 1400,DEF 2200,,,,
12414,Red Gardna,Unlimited,"Card Text During either player's turn, when your opponent activates a card or effect while you control a ""Red Dragon Archfiend"" monster: You can send this card from your hand to the Graveyard; this turn, monsters you control cannot be destroyed by your opponent's card effects.",Card Type Effect,Attribute FIRE,Level 4,Monster Type Fiend,ATK 0,DEF 2000,,,,
12415,Red Mirror,Unlimited,"Card Text When an opponent's monster declares an attack: You can send this card from your hand to the Graveyard, then target 1 FIRE Fiend-Type monster in your Graveyard, except ""Red Mirror""; add it to your hand. If you Synchro Summon while this card is in your Graveyard (except during the Damage Step, or the turn this card was sent to the Graveyard): You can add this card to your hand. You can only use each effect of ""Red Mirror"" once per turn.",Card Type Effect,Attribute FIRE,Level 1,Monster Type Fiend,ATK 0,DEF 0,,,,
12416,Magician of Dark Illusion,Unlimited,"Card Text This card's name becomes ""Dark Magician"" while on the field. You can only use each of these effects of ""Magician of Dark Illusion"" once per turn.●During your opponent's turn, if you activate a Spell/Trap Card or effect (except during the Damage Step): You can Special Summon this card from your hand.●If you activate a Spell/Trap Card or effect while this card is face-up on your field (except during the Damage Step): You can target 1 ""Dark Magician"" in your GY; Special Summon it. This effect can only be used once while this card is face-up on the field.",Card Type Effect,Attribute DARK,Level 7,Monster Type Spellcaster,ATK 2100,DEF 2500,,,,
12417,Magician's Robe,Unlimited,"Card Text During your opponent's turn (Quick Effect): You can discard 1 Spell/Trap; Special Summon 1 ""Dark Magician"" from your Deck. During your opponent's turn, if you activate a Spell/Trap Card or effect while this card is in your GY (except during the Damage Step): You can Special Summon this card, but banish it when it leaves the field. You can only use each effect of ""Magician's Robe"" once per turn.",Card Type Effect,Attribute DARK,Level 2,Monster Type Spellcaster,ATK 700,DEF 2000,,,,
12418,Magician's Rod,Unlimited,"Card Text When this card is Normal Summoned: You can add 1 Spell/Trap from your Deck to your hand, that specifically lists the card ""Dark Magician"" in its text. During your opponent's turn, if you activate a Spell/Trap Card or effect while this card is in your GY (except during the Damage Step): You can Tribute 1 Spellcaster monster; add this card to your hand. You can only use each effect of ""Magician's Rod"" once per turn.",Card Type Effect,Attribute DARK,Level 3,Monster Type Spellcaster,ATK 1600,DEF 100,,,,
12419,"Master Peace, the True Dracoslayer",Unlimited,"Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by Tributing 1 ""Dracoslayer"" monster and 1 ""Dracoverlord"" monster, and cannot be Special Summoned by other ways. Once per turn, during either player's turn, when a card or effect is activated: You can negate the activation, and if you do, destroy that card. If this card in its owner's control is destroyed by an opponent's card (by battle or card effect): You can Special Summon 1 ""Dracoslayer"" monster and 1 ""Dracoverlord"" monster from your Deck.",Card Type Effect,Attribute LIGHT,Level 8,Monster Type Dragon,ATK 2950,DEF 2950,,,,
12420,Metalfoes Steelen,Unlimited,Card Text Cool iron bodies meet burning metal machines and man/machine combine. Burn up the soul - Metalfoes Fusion!!,Card Type Pendulum / Normal,Attribute FIRE,Level 2,Monster Type Psychic,ATK 0,DEF 2100,,"Pendulum Effect Once per turn: You can target 1 other face-up card you control; destroy it, and if you do, Set 1 ""Metalfoes"" Spell/Trap Card directly from your Deck.",Pendulum Scale 8,
12421,Metalfoes Silverd,Unlimited,"Card Text Sizzling soldier on a silver sublight speedjet. Can't track her, can't see her, can't escape that lightspeed laser.",Card Type Pendulum / Normal,Attribute FIRE,Level 3,Monster Type Psychic,ATK 1700,DEF 100,,"Pendulum Effect Once per turn: You can target 1 other face-up card you control; destroy it, and if you do, Set 1 ""Metalfoes"" Spell/Trap Card directly from your Deck.",Pendulum Scale 1,
12422,Metalfoes Goldriver,Unlimited,"Card Text That gleaming, golden buggy breaks bad guys good. What wonderful wheels! (With a bumbling buffoon....)",Card Type Pendulum / Normal,Attribute FIRE,Level 4,Monster Type Psychic,ATK 1900,DEF 500,,"Pendulum Effect Once per turn: You can target 1 other face-up card you control; destroy it, and if you do, Set 1 ""Metalfoes"" Spell/Trap Card directly from your Deck.",Pendulum Scale 1,
12423,Metalfoes Volflame,Unlimited,"Card Text Roasting red rockets boost its blazing, bright-blast burners to liquified lava levels. Vanquisher of the Vanisher!",Card Type Pendulum / Normal,Attribute FIRE,Level 7,Monster Type Psychic,ATK 2400,DEF 2000,,"Pendulum Effect Once per turn: You can target 1 other face-up card you control; destroy it, and if you do, Set 1 ""Metalfoes"" Spell/Trap Card directly from your Deck.",Pendulum Scale 8,
12424,"True King Agnimazud, the Vanisher",Unlimited,"Card Text If this card is in your hand: You can destroy 2 other monsters in your hand and/or face-up field, including a FIRE monster, and if you do, Special Summon this card, and if you do that, you can banish 1 monster from your opponent's field or GY, if both the destroyed monsters were FIRE. If this card is destroyed by card effect: You can add 1 non-FIRE Wyrm monster from your GY to your hand. You can only use each effect of ""True King Agnimazud, the Vanisher"" once per turn.",Card Type Effect,Attribute FIRE,Level 9,Monster Type Wyrm,ATK 2900,DEF 1900,,,,
12425,Dinomist Ankylos,Unlimited,"Card Text Banish any monster destroyed by battle with a ""Dinomist"" monster you control.",Card Type Pendulum / Effect,Attribute WATER,Level 4,Monster Type Machine,ATK 1500,DEF 2000,,"Pendulum Effect Once, while this card is in your Pendulum Zone, you can negate an activated card effect that targets another ""Dinomist"" card(s) you control, then destroy this card.",Pendulum Scale 6,
12426,Triamid Dancer,Unlimited,"Card Text Once per turn: You can target 1 ""Triamid"" card in your Graveyard; shuffle it into the Deck, and if you do, all Rock-Type monsters you control gain 500 ATK and DEF. Once per turn, during your opponent's turn: You can target 1 ""Triamid"" Field Spell Card in your Field Zone; send it to the Graveyard, and if you do, activate 1 ""Triamid"" Field Spell Card from your Deck with a different name (this is a Quick Effect).",Card Type Effect,Attribute EARTH,Level 3,Monster Type Rock,ATK 600,DEF 1900,,,,
12427,Triamid Hunter,Unlimited,"Card Text If a Field Spell Card is face-up on the field, you can Normal Summon 1 Rock-Type monster in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) Once per turn, during your opponent's turn: You can target 1 ""Triamid"" Field Spell Card in your Field Zone; send it to the Graveyard, and if you do, activate 1 ""Triamid"" Field Spell Card from your Deck with a different name (this is a Quick Effect).",Card Type Effect,Attribute EARTH,Level 3,Monster Type Rock,ATK 1400,DEF 1100,,,,
12428,Triamid Master,Unlimited,"Card Text Once per turn: You can send 1 face-up ""Triamid"" card you control to the Graveyard, then target 1 Set Card on the field; destroy it. Once per turn, during your opponent's turn: You can target 1 ""Triamid"" Field Spell Card in your Field Zone; send it to the Graveyard, and if you do, activate 1 ""Triamid"" Field Spell Card from your Deck with a different name (this is a Quick Effect).",Card Type Effect,Attribute EARTH,Level 4,Monster Type Rock,ATK 1800,DEF 700,,,,
12429,Triamid Sphinx,Unlimited,"Card Text Cannot be Normal Summoned/Set. Must be Special Summoned with the effect of a ""Triamid"" card, and cannot be Special Summoned by other ways. If a face-up ""Triamid"" card(s) you control, except ""Triamid Sphinx"", is destroyed by battle or card effect: You can Special Summon this card from your hand. While you control another ""Triamid"" card, this card gains 500 ATK and DEF for each Field Spell Card with a different name in your Graveyard, also monsters your opponent controls cannot attack, except to attack ""Triamid Sphinx"".",Card Type Effect,Attribute EARTH,Level 10,Monster Type Rock,ATK 2500,DEF 2500,,,,
12430,Shiranui Solitaire,Unlimited,"Card Text You can Tribute 1 Zombie monster; Special Summon 1 Zombie Tuner with 0 DEF from your Deck. If this card is banished: You can target 1 of your banished ""Shiranui"" monsters, except ""Shiranui Solitaire"", or up to 2 instead if ""Shiranui Style Synthesis"" is on the field; Special Summon them. You can only use each effect of ""Shiranui Solitaire"" once per turn.",Card Type Effect,Attribute FIRE,Level 4,Monster Type Zombie,ATK 500,DEF 0,,,,
12431,Toon Dark Magician,Unlimited,"Card Text Cannot attack the turn it is Summoned. While you control ""Toon World"" and your opponent controls no Toon monsters, this card can attack your opponent directly. Once per turn: You can discard 1 ""Toon"" card, then activate 1 of these effects;●Special Summon 1 Toon monster from your Deck, except ""Toon Dark Magician"", ignoring its Summoning conditions.●Add 1 ""Toon"" Spell/Trap from your Deck to your hand.",Card Type Toon / Effect,Attribute DARK,Level 7,Monster Type Spellcaster,ATK 2500,DEF 2100,,,,
12432,Scapeghost,Unlimited,"Card Text FLIP: You can Special Summon any number of ""Black Sheep Tokens"" (Zombie/DARK/Level 1/ATK 0/DEF 0).",Card Type Flip / Tuner / Effect,Attribute DARK,Level 1,Monster Type Zombie,ATK 0,DEF 0,,,,
12433,Block Dragon,Unlimited,"Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or GY) by banishing 3 EARTH monsters from your hand and/or GY. Rock monsters you control cannot be destroyed, except by battle. If this card is sent from the field to the GY: You can add up to 3 Rock monsters from your Deck to your hand, whose total Levels equal 8. You can only use this effect of ""Block Dragon"" once per turn.",Card Type Effect,Attribute EARTH,Level 8,Monster Type Rock,ATK 2500,DEF 3000,,,,
12434,Amaterasu,Unlimited,"Card Text Cannot be Normal or Special Summoned. During either player's turn, when your opponent activates a card or effect that targets this face-down monster: You can change this card to face-up Defense Position; draw 1 card. If this card is flipped face-up: Banish all other cards on the field. Once per turn, during the End Phase, if this card was flipped face-up this turn: Return it to the hand.",Card Type Spirit / Effect,Attribute LIGHT,Level 9,Monster Type Fairy,ATK 3000,DEF 3000,,,,
12435,Black Dragon Ninja,Unlimited,"Card Text Cannot be Special Summoned, except with the effect of a ""Ninja"" monster or ""Ninjitsu Art"" card. Once per turn, during either player's turn: You can send 1 ""Ninja"" monster and 1 ""Ninjitsu Art"" card from your hand and/or face-up from your field to the Graveyard, then target 1 monster on the field; banish it. If this face-up card leaves the field: Special Summon as many monsters banished by this card's effect as possible to their owner's field(s).",Card Type Effect,Attribute DARK,Level 7,Monster Type Beast,ATK 2800,DEF 1600,,,,
12436,Spell Strider,Unlimited,"Card Text If this card is in your hand: You can target 2 face-up Spell Cards on the field (1 from each side of the field); banish them, and if you do, Special Summon this card.",Card Type Effect,Attribute EARTH,Level 4,Monster Type Warrior,ATK 1800,DEF 600,,,,
12437,Zap Mustung,Unlimited,"Card Text Cannot be Normal Summoned/Set. Must be Special Summoned by a card effect during your Main Phase 1, cannot be Special Summoned by other ways, and cannot be Special Summoned if you have Special Summoned this turn. Twice per turn, this card cannot be destroyed by battle. Each turn, the turn player can only Special Summon a number of times up to their number of attacks conducted (and reached the Damage Step) this turn.",Card Type Effect,Attribute LIGHT,Level 4,Monster Type Thunder,ATK 1600,DEF 1500,,,,
12438,Totem Five,Unlimited,"Card Text If 5 monsters are Special Summoned at the same time, including this card: Destroy as many cards your opponent controls as possible, and if you do, inflict 500 damage to your opponent for each card destroyed.",Card Type Effect,Attribute FIRE,Level 3,Monster Type Rock,ATK 500,DEF 200,,,,
12439,Tuning Gum,Unlimited,"Card Text You can target 1 face-up monster you control; that face-up monster is treated as a Tuner this turn. You can only use this effect of ""Tuning Gum"" once per turn. You can only attack with Synchro Monsters during the turn you activate this effect. During either player's turn, when a card or effect is activated that targets exactly 1 Synchro Monster you control (and no other cards): You can banish this card from your Graveyard; negate the activation.",Card Type Tuner / Effect,Attribute DARK,Level 1,Monster Type Fiend,ATK 400,DEF 1200,,,,
12440,Wrecker Panda,Unlimited,"Card Text Once per turn, during the Standby Phase: You can pay 500 LP; send the top card of your Deck to the Graveyard, and if you do, this card gains ATK and DEF equal to that monster's Level x 200 if it was a monster. If this card in your possession is destroyed by your opponent's card (by battle or card effect) and sent to your Graveyard: You can add 1 monster with the lowest Level from your Graveyard to your hand (your choice, if tied).",Card Type Effect,Attribute EARTH,Level 2,Monster Type Beast,ATK 800,DEF 800,,,,
12441,Fairy Tail - Snow,Forbidden,"Card Text If this card is Normal or Special Summoned: You can target 1 face-up monster your opponent controls; change it to face-down Defense Position. If this card is in your GY (Quick Effect): You can banish 7 other cards from your hand, field, and/or GY; Special Summon this card. Forbidden",Card Type Effect,Attribute LIGHT,Level 4,Monster Type Spellcaster,ATK 1850,DEF 1000,,,,
12442,Metalfoes Adamante,Unlimited,"Card Text 1 ""Metalfoes"" monster + 1 monster with 2500 or less ATK",Card Type Fusion,Attribute FIRE,Level 5,Monster Type Psychic,ATK 2500,DEF 2500,,,,
12443,Metalfoes Orichalc,Unlimited,"Card Text 2 ""Metalfoes"" monstersIf a ""Metalfoes"" monster you control attacks a Defense Position monster, inflict double piercing battle damage to your opponent. If this card is sent from the field to the Graveyard: You can target 1 card on the field; destroy it.",Card Type Fusion / Effect,Attribute FIRE,Level 8,Monster Type Psychic,ATK 2800,DEF 2200,,,,
12444,Metalfoes Crimsonite,Unlimited,"Card Text 1 ""Metalfoes"" monster + 2 monsters with 3000 or less ATK",Card Type Fusion,Attribute FIRE,Level 9,Monster Type Psychic,ATK 3000,DEF 3000,,,,
12445,Nirvana High Paladin,Unlimited,"Card Text 1 Tuner + 1 or more non-Tuner Synchro MonstersFor this card's Synchro Summon, you can treat 1 Pendulum Summoned Pendulum Monster you control as a Tuner. If this card is Synchro Summoned using a Pendulum Summoned Pendulum Monster Tuner: You can target 1 card in your Graveyard; add it to your hand. When this card destroys an opponent's monster by battle: You can halve your opponent's LP. If this card in the Monster Zone is destroyed by battle or card effect: You can place this card in your Pendulum Zone.",Card Type Synchro / Pendulum / Effect,Attribute DARK,Level 10,Monster Type Spellcaster,ATK 3300,DEF 2500,,"Pendulum Effect If a Pendulum Monster you control attacks, for that battle, it cannot be destroyed by battle, also you take no battle damage. At the end of the Damage Step, if a Pendulum Monster you control attacked: All monsters your opponent currently controls lose ATK equal to that attacking monster's ATK, until the end of this turn.",Pendulum Scale 8,
12446,Assault Blackwing - Sayo the Rain Hider,Unlimited,"Card Text 1 Tuner + 1 non-Tuner monsterIf this card is Synchro Summoned using a ""Blackwing"" monster as Material, it is treated as a Tuner while face-up on the field. Twice per turn, this card cannot be destroyed by battle.",Card Type Synchro / Effect,Attribute DARK,Level 2,Monster Type Winged Beast,ATK 800,DEF 100,,,,
12447,Assault Blackwing - Sohaya the Rain Storm,Unlimited,"Card Text 1 Tuner + 1 or more non-Tuner monstersIf this card is Synchro Summoned using a ""Blackwing"" monster as Material, it is treated as a Tuner while face-up on the field. You can only use each of these effects of ""Assault Blackwing - Sohaya the Rain Storm"" once per turn.●When this card is Synchro Summoned: You can target 1 ""Assault Blackwing"" monster in your Graveyard; Special Summon it.●During your Main Phase, if this card is in the Graveyard because it was sent there this turn: You can banish 1 other ""Assault Blackwing - Sohaya the Rain Storm"" from your Graveyard; Special Summon this card.",Card Type Synchro / Effect,Attribute DARK,Level 5,Monster Type Winged Beast,ATK 1500,DEF 2000,,,,
12448,Assault Blackwing - Onimaru the Divine Thunder,Unlimited,"Card Text 1 Tuner + 1 or more non-Tuner monstersIf this card is Synchro Summoned using a ""Blackwing"" monster as Material, it is treated as a Tuner while face-up on the field. Cannot be destroyed by card effects. You can target 1 ""Blackwing"" monster in your Graveyard; this card's Level becomes the same as that monster's. You can only use this effect of ""Assault Blackwing - Onimaru the Divine Thunder"" once per Duel. If this card that was Synchro Summoned using only Synchro Monsters attacks, this card gains 3000 ATK during the Damage Step only.",Card Type Synchro / Effect,Attribute DARK,Level 12,Monster Type Winged Beast,ATK 3000,DEF 2000,,,,
12449,Tyrant Red Dragon Archfiend,Unlimited,"Card Text 2 Tuners + 1 or more non-Tuner monstersMust be Synchro Summoned, and cannot be Special Summoned by other ways. You can only use each of these effects of ""Tyrant Red Dragon Archfiend"" once per turn.●During your Main Phase 1: You can destroy all other cards on the field, also, for the rest of this turn, other monsters you control cannot attack.●During either player's Battle Phase, when a Spell/Trap Card is activated: You can negate the activation, and if you do, destroy that card, and if you do that, this card gains 500 ATK.",Card Type Synchro / Effect,Attribute DARK,Level 10,Monster Type Dragon,ATK 3500,DEF 3000,,,,
12450,Coral Dragon,Unlimited,"Card Text 1 Tuner + 1+ non-Tuner monstersOnce per turn: You can discard 1 card, then target 1 card your opponent controls; destroy it. If this Synchro Summoned card is sent from the field to the GY: You can draw 1 card. You can only use this effect of ""Coral Dragon"" once per turn.",Card Type Synchro / Tuner / Effect,Attribute WATER,Level 6,Monster Type Dragon,ATK 2400,DEF 500,,,,
12451,Ebon High Magician,Unlimited,"Card Text 2 Level 7 Spellcaster-Type monstersWhile this card has Xyz Material, you can activate a Quick-Play Spell Card or a Trap Card from your hand during your opponent's turn by detaching 1 Xyz Material from this card at activation. If this Xyz Summoned card is destroyed by battle and sent to the Graveyard, or if this Xyz Summoned card you control is sent to your Graveyard by an opponent's card effect: You can Special Summon 1 DARK Spellcaster-Type monster from your hand or Deck, then you can destroy 1 card on the field.",Card Type Xyz / Effect,Attribute DARK,,Monster Type Spellcaster,ATK 2300,DEF 2800,Rank 7,,,
12452,Super Hippo Carnival,Unlimited,"Card Text Special Summon 1 ""Performapal Hip Hippo"" from your hand, Deck, or Graveyard, then you can Special Summon as many ""Hippo Tokens"" (Beast-Type/EARTH/Level 1/ATK 0/DEF 0) as possible, but they cannot be Tributed, and monsters your opponent controls cannot target monsters for attacks for the rest of this turn, except ""Hippo Tokens"". You cannot Special Summon monsters from the Extra Deck while a ""Hippo Token"" is in a Monster Zone.",Icon Quick-Play Spell,,,,,,,,,
12453,Luna Light Perfume,Unlimited,"Card Text Target 1 ""Lunalight"" monster in your GY; Special Summon it. You can banish this card from your GY, then discard 1 card; add 1 ""Lunalight"" monster from your Deck to your hand.",Icon Normal Spell,,,,,,,,,
12454,Frightfur Sanctuary,Unlimited,"Card Text Activate this card by discarding 1 card and sending 2 ""Frightfur"" monsters from your Extra Deck to the Graveyard. All Fusion Monsters you control are also treated as ""Frightfur"" monsters. If this card is sent to the Graveyard: You can target 1 ""Frightfur"" Fusion Monster in your Graveyard; return it to the Extra Deck.",Icon Continuous Spell,,,,,,,,,
12455,Forbidden Dark Contract with the Swamp King,Unlimited,"Card Text Once per turn: You can Special Summon 1 ""D/D/D"" monster from your hand in Defense Position, but its effects are negated. Once per turn: You can Fusion Summon 1 Fiend-Type Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials, including a monster Special Summoned by this card with the above effect. Once per turn, during your Standby Phase: Take 2000 damage.",Icon Continuous Spell,,,,,,,,,
12456,Dark Magical Circle,Unlimited,"Card Text When this card is activated: Look at the top 3 cards of your Deck, then you can reveal 1 ""Dark Magician"" or 1 Spell/Trap that specifically lists the card ""Dark Magician"" in its text, among them, and add it to your hand, also place the remaining cards on top of your Deck in any order. If ""Dark Magician"" is Normal or Special Summoned to your field (except during the Damage Step): You can target 1 card your opponent controls; banish it. You can only use each effect of ""Dark Magical Circle"" once per turn.",Icon Continuous Spell,,,,,,,,,
12457,Illusion Magic,Unlimited,"Card Text Tribute 1 Spellcaster monster; add up to 2 copies of ""Dark Magician"" from your Deck and/or GY to your hand. You can only activate 1 ""Illusion Magic"" per turn.",Icon Quick-Play Spell,,,,,,,,,
12458,Dark Magic Expanded,Unlimited,"Card Text Apply these effects in sequence, based on the number of ""Dark Magician"" and/or ""Dark Magician Girl"" on the field and in the GYs.●1+: 1 DARK Spellcaster monster on the field gains 1000 ATK until the end of this turn.●2+: This turn, your opponent cannot activate cards and effects in response to your Spell/Trap Card or effect activation, also Spells/Traps you control cannot be destroyed by your opponent's card effects.●3+: DARK Spellcaster monsters you currently control are unaffected by your opponent's card effects, until the end of this turn.",Icon Quick-Play Spell,,,,,,,,,
12459,Metamorformation,Unlimited,"Card Text All ""Metalfoes"" monsters you control gain 300 ATK and DEF. While a ""Metalfoes"" card is in your Pendulum Zone, ""Metalfoes"" monsters you control, except Effect Monsters, are unaffected by your opponent's card effects.",Icon Field Spell,,,,,,,,,
12460,Metalfoes Fusion,Unlimited,"Card Text Fusion Summon 1 ""Metalfoes"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Materials. If this card is in your Graveyard: You can shuffle it into the Deck, then draw 1 card. You can only use this effect of ""Metalfoes Fusion"" once per turn.",Icon Normal Spell,,,,,,,,,
12461,Triamid Fortress,Unlimited,"Card Text All Rock-Type monsters on the field gain 500 DEF. ""Triamid"" monsters on the field cannot be destroyed by card effects. If this face-up card in the Field Zone is sent to the Graveyard: You can target 1 ""Triamid"" monster in your Graveyard; add it to your hand. You can only use this effect of ""Triamid Fortress"" once per turn.",Icon Field Spell,,,,,,,,,
12462,Triamid Cruiser,Unlimited,"Card Text Each time a Rock-Type monster is Normal Summoned, gain 500 LP. If a ""Triamid"" monster is Normal Summoned: You can draw 1 card, then discard 1 card. If this face-up card in the Field Zone is sent to the Graveyard: You can add 1 ""Triamid"" monster from your Deck to your hand. You can only use this effect of ""Triamid Cruiser"" once per turn.",Icon Field Spell,,,,,,,,,
