"Card Name","Status","Card Text","Attribute","Level","Monster Type","Card Type","ATK","DEF","Icon","Rank"
"Summoning Curse","Unlimited","Card Text If a monster(s) is Special Summoned: The current controller of that monster(s) banishes 1 card from their hand. Once per turn, during your End Phase, pay 500 LP or destroy this card.","","","","","","","Icon Continuous Spell",""
"Pot of Duality","Unlimited","Card Text Excavate the top 3 cards of your Deck, add 1 of them to your hand, also, after that, shuffle the rest back into your Deck. You can only activate 1 ""Pot of Duality"" per turn. You cannot Special Summon during the turn you activate this card.","","","","","","","Icon Normal Spell",""
"Desperate Tag","Unlimited","Card Text If a face-up Attack Position monster you control is destroyed by battle, during damage calculation, you can reduce the Battle Damage from this battle to 0 and Special Summon 1 Level 4 or lower Warrior-Type monster from your hand at the end of the Damage Step.","","","","","","","Icon Continuous Trap",""
"Battle Instinct","Unlimited","Card Text Activate only when your opponent declares a direct attack and you control no monsters. Special Summon 1 Level 4 or lower Beast-Type monster from your hand, in face-up Attack Position.","","","","","","","Icon Normal Trap",""
"Howl of the Wild","Unlimited","Card Text When a monster you control destroys an opponent's monster by battle and sends it to the Graveyard, inflict 300 damage to your opponent for each face-up Beast-Type monster you control.","","","","","","","Icon Continuous Trap",""
"Parallel Selection","Unlimited","Card Text Activate only when a Synchro Monster you control is destroyed by your opponent's card (either by battle or by card effect) and sent to the Graveyard. Select 1 of your removed from play Spell Cards and add it to your hand.","","","","","","","Icon Normal Trap",""
"Reanimation Wave","Unlimited","Card Text Activate only when your opponent's monster declares a direct attack. Select 1 Synchro Monster in your Graveyard with a Level less than or equal to the attacking monster's. The Battle Damage you take from that attack is halved. At the end of the Damage Step, Special Summon the selected Synchro Monster from the Graveyard.","","","","","","","Icon Normal Trap",""
"Barrier Wave","Unlimited","Card Text Activate by Tributing 1 Synchro Monster when an opponent's monster declares an attack. Change all Attack Position monsters your opponent controls to Defense Position. Then, inflict damage to your opponent equal to the attacking monster's DEF.","","","","","","","Icon Normal Trap",""
"Chain Whirlwind","Unlimited","Card Text Activate only when a card on the field is destroyed by a card effect. Select 2 Spell/Trap Cards on the field and destroy them.","","","","","","","Icon Normal Trap",""
"Scrap Rage","Unlimited","Card Text Activate only during damage calculation, if a Defense Position ""Scrap"" monster on the field is being attacked. It gains 2000 DEF and is destroyed at the end of the Battle Phase.","","","","","","","Icon Normal Trap",""
"Wattcannon","Unlimited","Card Text Once per turn, when a Level 4 or lower Thunder-Type monster(s) is Normal or Special Summoned to the field, inflict 600 damage to your opponent.","","","","","","","Icon Continuous Trap",""
"Amazoness Willpower","Unlimited","Card Text Select 1 ""Amazoness"" monster in your Graveyard and Special Summon it in Attack Position. It cannot change its battle position and must attack if able. When this card is removed from the field, destroy that monster. When that monster is destroyed, destroy this card.","","","","","","","Icon Continuous Trap",""
"Queen's Pawn","Unlimited","Card Text Activate only when an ""Amazoness"" monster you control destroys an opponent's monster by battle and sends it to the Graveyard. Special Summon 1 Level 4 or lower ""Amazoness"" monster from your Deck.","","","","","","","Icon Normal Trap",""
"Beast Rising","Unlimited","Card Text Once per turn, you can remove from play 1 face-up Beast-Type or Beast-Warrior-Type monster you control to select 1 other face-up Beast-Type or Beast-Warrior-Type monster you control. The selected monster gains the original ATK of the monster removed from play for this effect.","","","","","","","Icon Continuous Trap",""
"Horn of the Phantom Beast","Unlimited","Card Text Target 1 Beast or Beast-Warrior monster you control; equip this card to that target. It gains 800 ATK. If the equipped monster destroys your opponent's monster by battle and sends it to the GY: Draw 1 card.","","","","","","","Icon Normal Trap",""
"Paradox Fusion","Unlimited","Card Text When a monster(s) would be Special Summoned, OR a Spell/Trap Card is activated: Banish 1 face-up Fusion Monster you control; negate the Special Summon or activation, and if you do, destroy that card, also during your 2nd End Phase, return the banished Fusion Monster to your field in face-up Attack Position.","","","","","","","Icon Counter Trap",""
"Solemn Warning","Unlimited","Card Text When a monster(s) would be Summoned, OR when a Spell/Trap Card, or monster effect, is activated that includes an effect that Special Summons a monster(s): Pay 2000 LP; negate the Summon or activation, and if you do, destroy it.","","","","","","","Icon Counter Trap",""
"Anti-Magic Prism","Unlimited","Card Text When your opponent activates a Quick-Play Spell Card, select 1 card on the field and destroy it.","","","","","","","Icon Normal Trap",""
"Chivalry","Unlimited","Card Text Activate only during the Battle Phase, when the effect of an opponent's Effect Monster is activated. Negate the activation and destroy that card.","","","","","","","Icon Counter Trap",""
"Light of Destruction","Unlimited","Card Text When an opponent's card effect sends a card(s) from their Deck to the Graveyard, send the top 3 cards of their Deck to the Graveyard.","","","","","","","Icon Continuous Trap",""
"Gash the Dust Lord","Unlimited","Card Text When this card inflicts battle damage to your opponent: Increase the Level of this card by 1 (max. 12).","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1000","DEF 1200","",""
"Junk Forward","Unlimited","Card Text If you control no monsters, you can Special Summon this card (from your hand).","Attribute EARTH","Level 3","Monster Type Warrior","Card Type Effect","ATK 900","DEF 1500","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Scarred Warrior","Unlimited","Card Text 1 Tuner + 1 or more non-Tuner monstersYour opponent cannot target face-up Warrior-Type monsters for attacks, except this one. Once per turn, if this card would be destroyed by battle, it is not destroyed.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Synchro / Effect","ATK 2100","DEF 1000","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Sergeant Electro","Unlimited","Card Text Once per turn: You can target 1 Set card in your opponent's Spell & Trap Zone; while this card is face-up on the field, its target(s) cannot be activated.","Attribute FIRE","Level 4","Monster Type Machine","Card Type Effect","ATK 1600","DEF 1300","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"XX-Saber Boggart Knight","Unlimited","Card Text When this card is Normal Summoned: You can Special Summon 1 Level 4 or lower ""X-Saber"" monster from your hand. Cannot be used as a Synchro Material, except for the Synchro Summon of an ""X-Saber"" Synchro Monster.","Attribute EARTH","Level 4","Monster Type Beast-Warrior","Card Type Effect","ATK 1900","DEF 1000","",""
"XX-Saber Darksoul","Unlimited","Card Text During the End Phase, if this card was sent from your side of the field to your Graveyard this turn: You can add 1 ""X-Saber"" monster from your Deck to your hand.","Attribute EARTH","Level 3","Monster Type Beast","Card Type Effect","ATK 100","DEF 100","",""
"Saber Vault","Unlimited","Card Text Each face-up ""X-Saber"" monster on the field gains 100 ATK x its Level, and loses 100 DEF x its Level.","","","","","","","Icon Field Spell",""
"Koa'ki Meiru Prototype","Unlimited","Card Text If a face-up ""Koa'ki Meiru"" monster(s) on the field would be destroyed during the End Phase, you can destroy this card instead. When a face-up ""Koa'ki Meiru"" monster(s) on the field is destroyed during the End Phase, you can Special Summon 1 ""Koa'ki Meiru Token"" (Rock-Type/EARTH/Level 4/ATK 1800/DEF 1800).","Attribute EARTH","Level 4","Monster Type Rock","Card Type Effect","ATK 1800","DEF 1800","",""
"Core Overclock","Unlimited","Card Text All face-up ""Koa'ki Meiru"" monsters you control gain 500 ATK. Once per turn, during your Main Phase, you can discard 1 ""Iron Core of Koa'ki Meiru"" to have all face-up ""Koa'ki Meiru"" monsters you control gain 1000 ATK, until the End Phase.","","","","","","","Icon Continuous Spell",""
"Wave-Motion Inferno","Unlimited","Card Text While you have no cards in your hand, face-up ""Infernity"" monsters you control gain 400 ATK and DEF. You can send this face-up card from the field to the Graveyard to send all cards from your hand to the Graveyard.","","","","","","","Icon Continuous Spell",""
"Infernity Barrier","Unlimited","Card Text When your opponent activates a Spell/Trap Card, or monster effect, while you control a face-up Attack Position ""Infernity"" monster and have no cards in your hand: Negate the activation, and if you do, destroy that card.","","","","","","","Icon Counter Trap",""
"Snyffus","Unlimited","Card Text Once per turn, you can Tribute 1 Plant-Type monster to select and destroy 1 face-up card your opponent controls. When a Plant-Type monster(s) on the field is destroyed while this card is in the Graveyard, you can Special Summon this card from the Graveyard. If you do, remove this card from play when it is removed from the field.","Attribute EARTH","Level 1","Monster Type Beast","Card Type Tuner / Effect","ATK 100","DEF 100","",""
"Nimble Sunfish","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard, send 1 Fish-Type monster from your Deck to the Graveyard. Then, you can Special Summon 1 ""Nimble Sunfish"" from your Deck.","Attribute WATER","Level 2","Monster Type Fish","Card Type Effect","ATK 1000","DEF 100","",""
"Akz, the Pumer","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 2 Beast-Warrior-Type monsters in your Graveyard. Once per turn, you can discard 1 Beast-Warrior-Type monster to activate 1 of the following effects:●Double this card's ATK until the End Phase.●This card can attack your opponent directly this turn.","Attribute EARTH","Level 6","Monster Type Beast-Warrior","Card Type Effect","ATK 1500","DEF 1000","",""
"Dark Highlander","Unlimited","Card Text 1 Fiend-Type Tuner + 1 or more non-Tuner Fiend-Type monstersNeither player can Synchro Summon. Once per turn: You can target 1 monster your opponent controls that is equipped with an Equip Card; destroy all Equip Cards equipped to that monster, and if you do, inflict 400 damage to your opponent for each card destroyed.","Attribute DARK","Level 7","Monster Type Fiend","Card Type Synchro / Effect","ATK 2800","DEF 2300","",""
"Malefic Cyber End Dragon","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 ""Cyber End Dragon"" from your Extra Deck. There can only be 1 face-up ""Malefic"" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.","Attribute DARK","Level 10","Monster Type Machine","Card Type Effect","ATK 4000","DEF 2800","",""
"Malefic Truth Dragon","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect, and cannot be Special Summoned by other ways. If a ""Malefic"" monster you control, except ""Malefic Truth Dragon"", is destroyed by battle or by card effect: You can pay half your Life Points; Special Summon this card from your hand or Graveyard. There can only be 1 ""Malefic"" monster on the field. If there is no face-up Field Spell Card on the field, destroy this card. If this card destroys an opponent's monster by battle: Destroy all face-up monsters your opponent controls.","Attribute DARK","Level 12","Monster Type Dragon","Card Type Effect","ATK 5000","DEF 5000","",""
"Malefic Parallel Gear","Unlimited","Card Text When using this card as a Synchro Material Monster, the other Synchro Material Monster is 1 ""Malefic"" monster in your hand.","Attribute DARK","Level 2","Monster Type Machine","Card Type Tuner / Effect","ATK 0","DEF 0","",""
"Malefic Rainbow Dragon","Unlimited","Card Text This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except by removing from play 1 ""Rainbow Dragon"" from your hand or Deck. There can only be 1 face-up ""Malefic"" monster on the field. Other monsters you control cannot declare an attack. If there is no face-up Field Spell Card on the field, destroy this card.","Attribute DARK","Level 10","Monster Type Dragon","Card Type Effect","ATK 4000","DEF 0","",""
"Junk Gardna","Unlimited","Card Text ""Junk Synchron"" + 1 or more non-Tuner monstersOnce per turn, you can select 1 monster your opponent controls, and change its battle position. This effect can be activated during either player's turn. If this card is sent from the field to the Graveyard, you can select 1 monster on the field and change its battle position.","Attribute EARTH","Level 6","Monster Type Warrior","Card Type Synchro / Effect","ATK 1400","DEF 2600","",""
"Dragunity Arma Leyvaten","Unlimited","Card Text You can Special Summon this card from your hand or Graveyard by removing from play 1 face-up monster you control equipped with a ""Dragunity"" card(s). When this card is Normal or Special Summoned, you can select 1 Dragon-Type monster in your Graveyard, except ""Dragunity Arma Leyvaten"", and equip it to this card. When this card is sent to the Graveyard by your opponent's card effect, you can select 1 of the monsters that were equipped to this card when it was sent to the Graveyard, and Special Summon that monster from the Graveyard.","Attribute WIND","Level 8","Monster Type Dragon","Card Type Effect","ATK 2600","DEF 1200","",""
"Dragunity Arma Mystletainn","Unlimited","Card Text You can Special Summon this card from your hand by sending 1 face-up ""Dragunity"" monster you control to the Graveyard. When this card is Normal or Special Summoned from the hand, you can select 1 Dragon-Type ""Dragunity"" monster in your Graveyard, and equip it to this card.","Attribute WIND","Level 6","Monster Type Dragon","Card Type Effect","ATK 2100","DEF 1500","",""
"Dragunity Aklys","Unlimited","Card Text When this card is Normal Summoned, you can Special Summon 1 ""Dragunity"" monster from your hand, then equip it with this card. When this card is sent to the Graveyard while equipped to a monster, select 1 card on the field, and destroy it.","Attribute WIND","Level 2","Monster Type Dragon","Card Type Tuner / Effect","ATK 1000","DEF 800","",""
"Dragon Ravine","Unlimited","Card Text Once per turn: You can discard 1 card, then activate 1 of these effects;●Add 1 Level 4 or lower ""Dragunity"" monster from your Deck to your hand.●Send 1 Dragon monster from your Deck to the GY.","","","","","","","Icon Field Spell",""
"Dragon Mastery","Unlimited","Card Text Each monster you control that is equipped with a ""Dragunity"" monster(s) gains 500 ATK. Once per turn, you can select 1 face-up monster you control, and equip it with 1 Dragon-Type ""Dragunity"" monster from your hand.","","","","","","","Icon Continuous Spell",""
"Magical King Moonstar","Unlimited","Card Text Cannot be used as a Synchro Material, except for the Synchro Summon of a DARK Synchro Monster. If you control a Tuner monster, you can Special Summon this card (from your hand). If this card is Normal or Special Summoned: You can target 1 other monster you control or in your Graveyard; until the end of this turn, this card's Level becomes the same as that monster's, also you cannot Special Summon, except by Synchro Summon.","Attribute DARK","Level 3","Monster Type Fiend","Card Type Effect","ATK 900","DEF 600","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Vision HERO Minimum Ray","Unlimited","Card Text If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can destroy 1 Level 4 or lower monster your opponent controls. You can only use each effect of ""Vision HERO Minimum Ray"" once per turn.","Attribute DARK","Level 3","Monster Type Warrior","Card Type Effect","ATK 1200","DEF 700","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Phantom Magician","Unlimited","Card Text When this card is destroyed by battle and sent to the Graveyard: You can Special Summon 1 ""HERO"" monster with 1000 or less ATK from your Deck in face-up Defense Position.","Attribute DARK","Level 3","Monster Type Spellcaster","Card Type Effect","ATK 600","DEF 700","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Vision HERO Multiply Guy","Unlimited","Card Text If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can make 1 face-up monster on the field gain 800 ATK. You can only use each effect of ""Vision HERO Multiply Guy"" once per turn.","Attribute DARK","Level 3","Monster Type Warrior","Card Type Effect","ATK 800","DEF 700","",""
"Rose Witch","Unlimited","Card Text This card can be treated as 2 Tributes for the Tribute Summon of a Plant-Type monster.","Attribute EARTH","Level 4","Monster Type Plant","Card Type Effect","ATK 1600","DEF 1000","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Queen Angel of Roses","Unlimited","Card Text You can Tribute Summon this card in face-up Attack Position by Tributing 1 Plant-Type monster. Once per turn, during your Standby Phase: Destroy the 1 face-up monster on the field that has the lowest ATK (your choice, if tied).","Attribute EARTH","Level 7","Monster Type Plant","Card Type Effect","ATK 2400","DEF 1300","",""
"Vision HERO Increase","Unlimited","Card Text If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can Special Summon 1 Level 4 or lower ""Vision HERO"" monster from your Deck. You can only use each effect of ""Vision HERO Increase"" once per turn.","Attribute DARK","Level 3","Monster Type Warrior","Card Type Effect","ATK 900","DEF 1100","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Mask Change","Unlimited","Card Text Target 1 ""HERO"" monster you control; send it to the GY, also, after that, if it left the field by this effect, Special Summon 1 ""Masked HERO"" monster from your Extra Deck with the same Attribute that the sent monster had when it was on the field (its original Attribute, if face-down).","","","","","","","Icon Quick-Play Spell",""
"Masked HERO Goka","Unlimited","Card Text Must be Special Summoned with ""Mask Change"" and cannot be Special Summoned by other ways. This card gains 100 ATK for each ""HERO"" monster in your Graveyard.","Attribute FIRE","Level 6","Monster Type Warrior","Card Type Fusion / Effect","ATK 2200","DEF 1800","",""
"Form Change","Unlimited","Card Text Target 1 ""HERO"" Fusion Monster you control; return it to the Extra Deck, then Special Summon from your Extra Deck, 1 ""Masked HERO"" monster with the same Level as that monster's original Level, but with a different name. (This Special Summon is treated as a Special Summon with ""Mask Change"".)","","","","","","","Icon Quick-Play Spell",""
"Masked HERO Vapor","Unlimited","Card Text Must be Special Summoned with ""Mask Change"" and cannot be Special Summoned by other ways. This card cannot be destroyed by card effects.","Attribute WATER","Level 6","Monster Type Warrior","Card Type Fusion / Effect","ATK 2400","DEF 2000","",""
"Vision Fusion","Unlimited","Card Text Fusion Summon 1 ""HERO"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material. You can also use up to 2 monsters in your Spell & Trap Zone that are being treated as Continuous Traps as Fusion Material, by banishing them. You can only activate 1 ""Vision Fusion"" per turn.","","","","","","","Icon Normal Spell",""
"Vision HERO Poisoner","Unlimited","Card Text If you take battle or effect damage while this card is in your GY: You can place this card from your GY in your Spell & Trap Zone as a face-up Continuous Trap. During the Main Phase, if this card is treated as a Continuous Trap: You can Tribute 1 ""HERO"" monster; Special Summon this card. If this card is Special Summoned from the Spell & Trap Zone: You can halve the ATK of 1 face-up monster on the field. You can only use each effect of ""Vision HERO Poisoner"" once per turn.","Attribute DARK","Level 3","Monster Type Warrior","Card Type Effect","ATK 900","DEF 700","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Vision HERO Witch Raider","Unlimited","Card Text To Tribute Summon this card face-up, you can Tribute Trap(s) you control, as well as monsters. When this card is Normal Summoned: You can destroy all Spells and Traps your opponent controls. You cannot Special Summon monsters during the turn you activate this effect, except ""HERO"" monsters.","Attribute DARK","Level 8","Monster Type Warrior","Card Type Effect","ATK 2700","DEF 1900","",""
"Vision Release","Unlimited","Card Text Target 1 ""Vision HERO"" Monster Card in your Spell & Trap Zone; Special Summon it. During your Main Phase, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 ""Vision HERO"" monster in your GY; add it to your hand.","","","","","","","Icon Normal Spell",""
"Vision HERO Adoration","Unlimited","Card Text 2 ""HERO"" monstersOnce per turn: You can target 1 face-up monster your opponent controls and 1 other ""HERO"" monster you control; the opponent's targeted monster loses ATK and DEF equal to the ATK of your targeted monster, until the end of this turn.","Attribute DARK","Level 8","Monster Type Warrior","Card Type Fusion / Effect","ATK 2800","DEF 2100","",""
"Card information not found.","Unlimited","Card information not found.","","","","","","","",""
"Swift Scarecrow","Unlimited","Card Text When an opponent's monster declares a direct attack (Quick Effect): You can discard this card; negate the attack, then end the Battle Phase.","Attribute EARTH","Level 1","Monster Type Machine","Card Type Effect","ATK 0","DEF 0","",""
"Mirror Ladybug","Unlimited","Card Text If you control at least 1 face-up monster and have no monsters in your Graveyard, you can Special Summon this card from your hand. When this card is Special Summoned this way, this card's Level becomes equal to the total Levels of all other monsters you control. If the Level of this card is higher than 12, destroy this card.","Attribute LIGHT","Level 1","Monster Type Insect","Card Type Effect","ATK 100","DEF 100","",""
"Reed Butterfly","Unlimited","Card Text If your opponent controls a face-up Synchro Monster(s) and you control no face-up Synchro Monsters, you can Special Summon this card from your hand.","Attribute WIND","Level 1","Monster Type Insect","Card Type Effect","ATK 300","DEF 600","",""
"Needle Soldier","Unlimited","Card Text If this card is used as a Synchro Material Monster for a Synchro Monster, during battle between that Synchro Monster and a Defense Position monster whose DEF is lower than the ATK of that Synchro Monster, inflict the difference as Battle Damage to your opponent.","Attribute EARTH","Level 1","Monster Type Machine","Card Type Effect","ATK 100","DEF 100","",""
"Necro Linker","Unlimited","Card Text You can Tribute this card to select 1 ""Synchron"" Tuner monster in your Graveyard. Special Summon that monster. It cannot be used as a Synchro Material Monster during the turn it is Special Summoned by this effect.","Attribute DARK","Level 2","Monster Type Fiend","Card Type Effect","ATK 600","DEF 0","",""
"Rescue Warrior","Unlimited","Card Text You take no Battle Damage from battles involving this card. If this card is destroyed by battle, select 1 face-up monster your opponent controls that you own, and take control of it.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1600","DEF 1700","",""
"Power Giant","Unlimited","Card Text You can Special Summon this card (from your hand) by sending 1 Level 4 or lower monster from your hand to the Graveyard. If you do, decrease this card's Level by the Level of that monster. If this card attacks or is attacked, until the end of the Damage Step any effect damage you take becomes 0.","Attribute EARTH","Level 6","Monster Type Rock","Card Type Effect","ATK 2200","DEF 0","",""
"Vice Berserker","Unlimited","Card Text If this card is sent to the Graveyard as a Synchro Material Monster, inflict 2000 damage to the player that Synchro Summoned, and the Synchro Monster that used this card as a Synchro Material Monster gains 2000 ATK until the End Phase.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1000","DEF 1000","",""
"Lancer Archfiend","Unlimited","Card Text Once per turn, when your monster declares an attack on your opponent's Defense Position monster: You can activate this effect; during that battle, if that monster attacks a Defense Position monster, inflict piercing battle damage to your opponent.","Attribute DARK","Level 4","Monster Type Fiend","Card Type Effect","ATK 1600","DEF 1400","",""
"Power Breaker","Unlimited","Card Text If this card in your possession is destroyed by your opponent's attack or card effect and sent to your Graveyard: Target 1 face-up Spell/Trap Card your opponent controls; destroy that target. If this card attacks, it is changed to Defense Position at the end of the Damage Step.","Attribute EARTH","Level 4","Monster Type Warrior","Card Type Effect","ATK 1900","DEF 0","",""
"Extra Veiler","Unlimited","Card Text When your opponent Special Summons a monster(s), except during the Damage Step: You can Special Summon this card from your hand, and if you do, your opponent takes any effect damage you would have taken from their card effects this turn, instead.","Attribute LIGHT","Level 2","Monster Type Spellcaster","Card Type Effect","ATK 600","DEF 200","",""
"Synchro Soldier","Unlimited","Card Text Once per turn, during your Main Phase 1, you can select 1 face-up Synchro Monster you control. Remove that face-up Synchro Monster you control from play and inflict 600 damage to your opponent. If you use this effect, during your next Standby Phase the removed from play monster returns to the field.","Attribute EARTH","Level 1","Monster Type Machine","Card Type Effect","ATK 0","DEF 0","",""
"Creation Resonator","Unlimited","Card Text If you control a Level 8 or higher Synchro Monster, you can Special Summon this card (from your hand).","Attribute WIND","Level 3","Monster Type Fiend","Card Type Tuner / Effect","ATK 800","DEF 600","",""
"Attack Gainer","Unlimited","Card Text If this card is sent to the Graveyard as a Synchro Material Monster, select 1 face-up monster your opponent controls. The selected opponent's monster loses 1000 ATK until the End Phase.","Attribute EARTH","Level 1","Monster Type Warrior","Card Type Tuner / Effect","ATK 0","DEF 0","",""
"Blackwing - Etesian of Two Swords","Unlimited","Card Text If a ""Blackwing"" monster you control battles an opponent's monster, and your opponent still controls that monster at the end of the Damage Step: You can send this card from your hand to the Graveyard; inflict 1000 damage to your opponent.","Attribute DARK","Level 3","Monster Type Winged Beast","Card Type Effect","ATK 400","DEF 1600","",""
"Blackwing - Aurora the Northern Lights","Unlimited","Card Text Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by banishing 2 face-up monsters you control (1 ""Blackwing"" Tuner and 1 non-Tuner), and cannot be Special Summoned by other ways. Once per turn: You can banish 1 ""Blackwing"" Synchro Monster from your Extra Deck; until the End Phase, this card's name and original ATK become that monster's, and replace this effect with that monster's original effects.","Attribute LIGHT","Level 10","Monster Type Winged Beast","Card Type Effect","ATK ?","DEF 0","",""
"Blackwing - Abrolhos the Megaquake","Unlimited","Card Text Cannot be Special Summoned. This card cannot destroy monsters by battle. If this card battles a monster, after damage calculation: Return that monster to the hand. Once per turn, during your Main Phase 1: You can have this card lose exactly 1000 ATK, and if you do, return all cards in your opponent's Spell & Trap Zone to the hand.","Attribute DARK","Level 7","Monster Type Winged Beast","Card Type Effect","ATK 2600","DEF 1800","",""
"Glow-Up Bulb","Forbidden","Card Text If this card is in your GY: You can send the top card of your Deck to the GY, and if you do, Special Summon this card. You can only use this effect of ""Glow-Up Bulb"" once per Duel. Forbidden","Attribute EARTH","Level 1","Monster Type Plant","Card Type Tuner / Effect","ATK 100","DEF 100","",""
"Karakuri Soldier mdl 236 ""Nisamu""","Unlimited","Card Text This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 Level 4 or lower ""Karakuri"" monster from your Deck in face-up Attack Position.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1400","DEF 200","",""
"Karakuri Merchant mdl 177 ""Inashichi""","Unlimited","Card Text This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is Normal Summoned, add 1 ""Karakuri"" card from your Deck to your hand.","Attribute EARTH","Level 2","Monster Type Machine","Card Type Effect","ATK 500","DEF 1500","",""
"Karakuri Strategist mdl 248 ""Nishipachi""","Unlimited","Card Text This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is Normal or Special Summoned, select 1 monster on the field, and change its battle position.","Attribute EARTH","Level 3","Monster Type Machine","Card Type Tuner / Effect","ATK 500","DEF 1600","",""
"Karakuri Ninja mdl 339 ""Sazank""","Unlimited","Card Text This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is flipped face-up, select 1 face-up monster on the field, and send it to the Graveyard. During the turn this card is flipped face-up, it can attack your opponent directly.","Attribute EARTH","Level 3","Monster Type Machine","Card Type Effect","ATK 1200","DEF 1200","",""
"Karakuri Bushi mdl 6318 ""Muzanichiha""","Unlimited","Card Text This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. If another ""Karakuri"" monster on the field is destroyed, this card gains 400 ATK.","Attribute EARTH","Level 4","Monster Type Machine","Card Type Effect","ATK 1800","DEF 600","",""
"Scrap Soldier","Unlimited","Card Text This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a ""Scrap"" monster. If this face-up Defense Position card is selected as an attack target, destroy this card at the end of the Battle Phase. If this card is destroyed by the effect of a ""Scrap"" card and sent to the Graveyard, you can select 1 ""Scrap"" monster in your Graveyard, except ""Scrap Soldier"", and add it to your hand.","Attribute EARTH","Level 5","Monster Type Warrior","Card Type Tuner / Effect","ATK 2100","DEF 700","",""
"Scrap Searcher","Unlimited","Card Text When a ""Scrap"" monster you control, except ""Scrap Searcher"", is destroyed and sent to the Graveyard while this card is in the Graveyard, you can Special Summon this card from your Graveyard. When this card is Special Summoned, destroy all face-up monsters you control, except ""Scrap"" monsters.","Attribute EARTH","Level 1","Monster Type Winged Beast","Card Type Effect","ATK 100","DEF 300","",""
"Wattkiwi","Unlimited","Card Text ""Watt"" monsters you control cannot be destroyed by battle while they are attacking.","Attribute LIGHT","Level 3","Monster Type Thunder","Card Type Tuner / Effect","ATK 600","DEF 100","",""
